# %ECSV 1.0
# ---
# datatype:
# - {name: mx, unit: MeV, datatype: float64}
# - {name: sigma, unit: cm2, datatype: float64}
# - {name: col1, unit: cm2, datatype: float64}
# - {name: col2, unit: cm2, datatype: float64}
# - {name: col3, unit: cm2, datatype: float64}
# - {name: col4, unit: cm2, datatype: float64}
# - {name: col5, unit: cm2, datatype: float64}
# schema: astropy-2.0
mx sigma col1 col2 col3 col4 col5
0.03873362004795339 inf inf inf inf inf inf
0.03936362584054766 inf inf inf inf inf inf
0.040003878733676584 inf inf inf inf inf inf
0.04065454539734633 inf inf inf inf inf inf
0.04131579521246575 inf inf inf inf inf inf
0.04198780031493915 inf inf inf inf inf inf
0.04267073564047686 inf inf inf inf inf inf
0.043364778970134084 inf inf inf inf inf inf
0.04407011097659075 inf inf inf inf inf inf
0.04478691527118422 inf inf inf inf inf inf
0.04551537845170648 inf inf inf inf inf inf
0.046255690150979495 inf inf inf inf inf inf
0.047008043086219864 inf inf inf inf inf inf
0.04777263310920695 inf inf inf inf inf inf
0.04854965925726697 inf inf inf inf inf inf
0.04933932380508587 inf inf inf inf inf inf
0.05014183231736547 inf inf inf inf inf inf
0.050957393702336 inf inf inf inf inf inf
0.05178622026613849 inf inf inf inf inf inf
0.05262852776809257 inf inf inf inf inf inf
0.05348453547686233 inf inf inf inf inf inf
0.05435446622753626 inf inf inf inf inf inf
0.05523854647963568 inf inf inf inf inf inf
0.056137006376066015 inf inf inf inf inf inf
0.05705007980302787 inf inf inf inf inf inf
0.05797800445090162 inf inf inf inf inf inf
0.05892102187612295 inf inf inf inf inf inf
0.059879377564064716 inf inf inf inf inf inf
0.06085332099294108 inf inf inf inf inf inf
0.06184310569875189 inf inf inf inf inf inf
0.06284898934128255 inf inf inf inf inf inf
0.06387123377117784 inf inf inf inf inf inf
0.06491010509810695 inf inf inf inf inf inf
0.06596587376003629 inf inf inf inf inf inf
0.06703881459363033 inf inf inf inf inf inf
0.06812920690579616 inf inf inf inf inf inf
0.06923733454639272 inf inf inf inf inf inf
0.07036348598212251 inf inf inf inf inf inf
0.07150795437162442 inf inf inf inf inf inf
0.07267103764178912 inf inf inf inf inf inf
0.07385303856531454 inf inf inf inf inf inf
0.07505426483952363 inf inf inf inf inf inf
0.076275029166464 inf inf inf inf inf inf
0.07751564933430978 inf inf inf inf inf inf
0.0787764483000884 inf inf inf inf inf inf
0.080057754273752 inf inf inf inf inf inf
0.08135990080361694 inf inf inf inf inf inf
0.08268322686319299 inf inf inf inf inf inf
0.08402807693942403 inf inf inf inf inf inf
0.08539480112236525 inf inf inf inf inf inf
0.08678375519631756 inf inf inf inf inf inf
0.08819530073244539 inf inf inf inf inf inf
0.0896298051829007 inf inf inf inf inf inf
0.09108764197647733 inf inf inf inf inf inf
0.09256919061582178 inf inf inf inf inf inf
0.09407483677622533 inf inf inf inf inf inf
0.09560497240602198 inf inf inf inf inf inf
0.09715999582862075 inf inf inf inf inf inf
0.09874031184619632 inf inf inf inf inf inf
0.10034633184506682 inf inf inf inf inf inf
0.10197847390278598 inf inf inf inf inf inf
0.10363716289697593 inf inf inf inf inf inf
0.10532283061593165 inf inf inf inf inf inf
0.10703591587102305 inf inf inf inf inf inf
0.10877686461092625 inf inf inf inf inf inf
0.1105461300377127 inf inf inf inf inf inf
0.11234417272482565 inf inf inf inf inf inf
0.11417146073697704 inf inf inf inf inf inf
0.11602846975199281 inf inf inf inf inf inf
0.1179156831846413 inf inf inf inf inf inf
0.11983359231247558 inf inf inf inf inf inf
0.12178269640372161 inf inf inf inf inf inf
0.12376350284724814 inf inf inf inf inf inf
0.12577652728464883 inf inf inf inf inf inf
0.127822293744474 inf inf inf inf inf inf
0.12990133477864557 inf inf inf inf inf inf
0.13201419160108951 inf inf inf inf inf inf
0.13416141422862524 inf inf inf inf inf inf
0.1363435616241445 inf inf inf inf inf inf
0.1385612018421204 inf inf inf inf inf inf
0.14081491217648334 inf inf inf inf inf inf
0.14310527931090045 inf inf inf inf inf inf
0.1454328994715018 inf inf inf inf inf inf
0.14779837858208825 inf inf inf inf inf inf
0.1502023324218655 inf inf inf inf inf inf
0.15264538678574355 inf inf inf inf inf inf
0.15512817764724182 inf inf inf inf inf inf
0.15765135132404665 inf inf inf inf inf inf
0.16021556464625875 inf inf inf inf inf inf
0.16282148512737918 inf inf inf inf inf inf
0.16546979113807625 inf inf inf inf inf inf
0.1681611720827773 inf inf inf inf inf inf
0.17089632857913434 inf inf inf inf inf inf
0.17367597264040865 inf inf inf inf inf inf
0.1765008278608201 inf inf inf inf inf inf
0.179371629603914 inf inf inf inf inf inf
0.18228912519398888 inf inf inf inf inf inf
0.18525407411063982 inf inf inf inf inf inf
0.18826724818646592 inf inf inf inf inf inf
0.1913294318079918 inf inf inf inf inf inf
0.19444142211985976 inf inf inf inf inf inf
0.1976040292323404 inf inf inf inf inf inf
0.20081807643222024 inf inf inf inf inf inf
0.20408440039711964 inf inf inf inf inf inf
0.2074038514132944 inf inf inf inf inf inf
0.21077729359698313 inf inf inf inf inf inf
0.21420560511935166 inf inf inf inf inf inf
0.21768967843509832 inf inf inf inf inf inf
0.22123042051477756 inf inf inf inf inf inf
0.2248287530809001 inf inf inf inf inf inf
0.2284856128478766 inf inf inf inf inf inf
0.23220195176586061 inf inf inf inf inf inf
0.23597873726856003 inf inf inf inf inf inf
0.23981695252507929 inf inf inf inf inf inf
0.24371759669585513 inf inf inf inf inf inf
0.24768168519275918 inf inf inf inf inf inf
0.2517102499434271 inf inf inf inf inf inf
0.25580433965988986 inf inf inf inf inf inf
0.2599650201115741 inf inf inf inf inf inf
0.2641933744027403 inf inf inf inf inf inf
0.26849050325443796 inf inf inf inf inf inf
0.2728575252910416 inf inf inf inf inf inf
0.2772955773314516 inf inf inf inf inf inf
0.28180581468502985 inf inf inf inf inf inf
0.2863894114523477 inf inf inf inf inf inf
0.2910475608308271 inf inf inf inf inf inf
0.29578147542535377 inf inf inf inf inf inf
0.3005923875639388 inf inf inf inf inf inf
0.30548154961852014 inf inf inf inf inf inf
0.31045023433097607 inf inf inf inf inf inf
0.3154997351444454 inf inf inf inf inf inf
0.3206313665400361 inf inf inf inf inf inf
0.32584646437900766 inf inf inf inf inf inf
0.3311463862505236 inf inf inf inf inf inf
0.3365325118250557 inf inf inf inf inf inf
0.3420062432135391 inf inf inf inf inf inf
0.3475690053323698 inf inf inf inf inf inf
0.35322224627433485 inf inf inf inf inf inf
0.3589674376855814 inf inf inf inf inf inf
0.3648060751487119 inf inf inf inf inf inf
0.370739678572113 inf inf inf inf inf inf
0.3767697925856187 inf inf inf inf inf inf
0.3828979869426037 inf inf inf inf inf inf
0.389125856928623 inf inf inf inf inf inf
0.39545502377669295 inf inf inf inf inf inf
0.4018871350893295 inf inf inf inf inf inf
0.40842386526745217 inf inf inf inf inf inf
0.41506691594625944 inf inf inf inf inf inf
0.4218180164382002 inf inf inf inf inf inf
0.42867892418314346 inf inf inf inf inf inf
0.43565142520587485 inf inf inf inf inf inf
0.44273733458103415 inf inf inf inf inf inf
0.4499384969056106 inf inf inf inf inf inf
0.4572567867791303 inf inf inf inf inf inf
0.46469410929164656 inf inf inf inf inf inf
0.472252400519673 inf inf inf inf inf inf
0.479933628030182 inf inf inf inf inf inf
0.48773979139279694 inf inf inf inf inf inf
0.4956729227003216 inf inf inf inf inf inf
0.5037350870977295 inf inf inf inf inf inf
0.5119283833197618 inf inf inf inf inf inf
0.5202549442372693 inf inf inf inf inf inf
0.5287169374124362 inf inf inf inf inf inf
0.5373165656630395 inf inf inf inf inf inf
0.546056067635886 inf inf inf inf inf inf
0.5549377183895706 inf inf inf inf inf inf
0.5639638299867218 inf inf inf inf inf inf
0.5731367520958717 inf inf inf inf inf inf
0.5824588726031213 inf inf inf inf inf inf
0.5919326182337543 inf inf inf inf inf inf
0.6015604551839554 inf inf inf inf inf inf
0.6113448897628133 inf inf inf inf inf inf
0.6212884690447563 inf inf inf inf inf inf
0.6313937815326057 inf inf inf inf inf inf
0.6416634578314149 inf inf inf inf inf inf
0.6521001713332606 inf inf inf inf inf inf
0.6627066389131835 inf inf inf inf inf inf
0.6734856216364379 inf inf inf inf inf inf
0.6844399254772507 inf inf inf inf inf inf
0.6955724020492732 inf inf inf inf inf inf
0.7068859493479043 inf inf inf inf inf inf
0.7183835125047002 inf inf inf inf inf inf
0.730068084554043 inf inf inf inf inf inf
0.7419427072122865 inf inf inf inf inf inf
0.7540104716695752 inf inf inf inf inf inf
0.7662745193945346 inf inf inf inf inf inf
0.7787380429520611 inf inf inf inf inf inf
0.7914042868344026 inf inf inf inf inf inf
0.8042765483057629 inf inf inf inf inf inf
0.8173581782606457 inf inf inf inf inf inf
0.8306525820961499 inf inf inf inf inf inf
0.844163220598466 inf inf inf inf inf inf
0.8578936108437789 inf inf inf inf inf inf
0.8718473271138315 inf inf inf inf inf inf
0.8860280018263819 inf inf inf inf inf inf
0.900439326480784 inf inf inf inf inf inf
0.9150850526189622 inf inf inf inf inf inf
0.9299689928020034 inf inf inf inf inf inf
0.9450950216026407 inf inf inf inf inf inf
0.9604670766138824 inf inf inf inf inf inf
0.976089159474036 inf inf inf inf inf inf
0.9919653369084137 inf inf inf inf inf inf
1.0080997417879816 inf inf inf inf inf inf
1.0244965742052174 inf inf inf inf inf inf
1.0411601025674826 inf inf inf inf inf inf
1.0580946647081628 inf inf inf inf inf inf
1.0753046690158912 inf inf inf inf inf inf
1.0927945955821399 inf inf inf inf inf inf
1.1105689973674642 inf inf inf inf inf inf
1.128632501386735 inf inf inf inf inf inf
1.14698980991363 inf inf inf inf inf inf
1.1656457017047286 inf inf inf inf inf inf
1.1846050332435167 inf inf inf inf inf inf
1.2038727400046132 inf inf inf inf inf inf
1.2234538377385784 inf inf inf inf inf inf
1.2433534237775994 inf inf inf inf inf inf
1.2635766783624274 inf inf inf inf inf inf
1.284128865990896 inf inf inf inf inf inf
1.3050153367883623 inf inf inf inf inf inf
1.3262415279004547 inf inf inf inf inf inf
1.347812964908458 inf inf inf inf inf inf
1.3697352632677307 inf inf inf inf inf inf
1.392014129769518 inf inf inf inf inf inf
1.4146553640265302 inf inf inf inf inf inf
1.437664859982702 inf inf inf inf inf inf
1.4610486074474884 inf inf inf inf inf inf
1.4848126936551316 inf inf inf inf inf inf
1.5089633048492863 inf inf inf inf inf inf
1.5335067278934078 inf inf inf inf inf inf
1.5584493519073537 inf inf inf inf inf inf
1.5837976699305822 inf inf inf inf inf inf
1.609558280612419 inf inf inf inf inf inf
1.6357378899298156 inf inf inf inf inf inf
1.6623433129330334 inf inf inf inf inf inf
1.6893814755197352 inf inf inf inf inf inf
1.7168594162379338 inf inf inf inf inf inf
1.7447842881182476 inf inf inf inf inf inf
1.7731633605359842 inf inf inf inf inf inf
1.8020040211034858 inf inf inf inf inf inf
1.8313137775932689 inf inf inf inf inf inf
1.861100259892447 inf inf inf inf inf inf
1.8913712219889225 inf inf inf inf inf inf
1.922134543989911 inf inf inf inf inf inf
1.9533982341732707 inf inf inf inf inf inf
1.985170431072216 inf inf inf inf inf inf
2.0174594055939363 inf inf inf inf inf inf
2.0502735631726585 inf inf inf inf inf inf
2.0836214459577564 inf inf inf inf inf inf
2.1175117350374215 inf inf inf inf inf inf
2.1519532526985192 inf inf inf inf inf inf
2.1869549647232076 inf inf inf inf inf inf
2.2225259827228827 inf inf inf inf inf inf
2.258675566510125 inf inf inf inf inf inf
2.295413126509186 inf inf inf inf inf inf
2.33274822620571 inf inf inf inf inf inf
2.370690584636297 inf inf inf inf inf inf
2.409250078918536 inf inf inf inf inf inf
2.448436746822227 inf inf inf inf inf inf
2.4882607893823847 inf inf inf inf inf inf
2.5287325735547714 inf inf inf inf inf inf
2.5698626349146183 inf inf inf inf inf inf
2.6116616803992203 inf inf inf inf inf inf
2.6541405910951736 inf inf inf inf inf inf
2.6973104250709135 inf inf inf inf inf inf
2.741182420255347 inf inf inf inf inf inf
