# %ECSV 1.0
# ---
# datatype:
# - {name: mx, unit: MeV, datatype: float64}
# - {name: sigma_10, unit: cm2, datatype: float64}
# - {name: sigma_7, unit: cm2, datatype: float64}
# - {name: sigma_5, unit: cm2, datatype: float64}
# - {name: sigma_4, unit: cm2, datatype: float64}
# - {name: sigma_3, unit: cm2, datatype: float64}
# - {name: sigma_2, unit: cm2, datatype: float64}
# schema: astropy-2.0
mx sigma_10 sigma_7 sigma_5 sigma_4 sigma_3 sigma_2
385.352859371052 7.367934295076004e-39 1.1620488772909644e-33 1.0991993892346999e-25 1.0568093244277255e-21 3.88724399291279e-18 1.3481330938435673e-14
533.6699231206302 5.83808119353173e-39 3.0254284857730942e-33 2.9117943819233426e-25 2.731223857215091e-21 6.492230051934272e-18 1.984630428594124e-14
739.0722033525775 4.669074921286293e-39 7.941150576303454e-33 7.712616405007577e-25 6.898494088794832e-21 1.0072762744423957e-17 2.841752177495319e-14
1023.5310218990269 3.7762353766713845e-39 2.0946458024750052e-32 2.0427308271571303e-24 1.6748649776853882e-20 1.488334307600859e-17 4.006929340208657e-14
1417.474162926802 3.0962138306379554e-39 5.54119474208796e-32 5.407866954646467e-24 3.819352998759914e-20 2.1357169481963125e-17 5.603412342411355e-14
1963.0406500402685 2.5819724548002386e-39 1.468373512259666e-31 1.4296542033557203e-23 7.97989454558726e-20 3.014523838431347e-17 7.79239882784148e-14
2718.58824273294 2.1992081401491525e-39 3.894870406862028e-31 3.767374929009745e-23 1.5040278717368167e-19 4.2170008714154445e-17 1.0816362552008849e-13
3764.935806792456 1.923996034781348e-39 1.0336660572654359e-30 9.863520812916241e-23 2.565805295498667e-19 5.871057922311194e-17 1.4997382226556132e-13
5214.0082879996735 1.7416239267060446e-39 2.7439542835526126e-30 2.5508145965451544e-22 4.0419458164121205e-19 8.153438610486619e-17 2.0811733806358208e-13
7220.8090183854565 1.6468937031305446e-39 7.28447553991132e-30 6.450413540532178e-22 6.029935335117071e-19 1.1307720669769386e-16 2.8830222183286555e-13
10000.0 1.6467688460366297e-39 1.93363396338976e-29 1.5691665810154578e-21 8.701171648758273e-19 1.5672881656998952e-16 3.991154847564014e-13
