# %ECSV 0.9
# ---
# datatype:
# - {name: mx, unit: MeV, datatype: float64}
# - {name: sigma_10, unit: cm2, datatype: float64}
# - {name: sigma_7, unit: cm2, datatype: float64}
# - {name: sigma_5, unit: cm2, datatype: float64}
# - {name: sigma_4, unit: cm2, datatype: float64}
# - {name: sigma_3, unit: cm2, datatype: float64}
# - {name: sigma_2, unit: cm2, datatype: float64}
# schema: astropy-2.0
mx sigma_10 sigma_7 sigma_5 sigma_4 sigma_3 sigma_2
0.002257019719633917 4.635927575631416e-42 9.390745140434406e-42 2.9472669157147565e-41 2.152190807526845e-40 1.2895334334009063e-37 1.00829236101095e-33
0.0031257158496882354 3.428502025304958e-42 7.121641771798208e-42 2.488871997319562e-41 2.7234225615192394e-40 3.0263241228993224e-37 2.5429356423164394e-33
0.004328761281083053 2.5373459278175747e-42 5.4159136399688265e-42 2.1557404376049657e-41 3.885176849656344e-40 7.352679367753619e-37 6.533711090970805e-33
0.005994842503189409 1.8791154380395414e-42 4.131011627441888e-42 1.927731199778585e-41 6.2934972198477994e-40 1.8359886428154e-36 1.6999443504315132e-32
0.008302175681319735 1.3926049572476606e-42 3.161226214242344e-42 1.7953227825512775e-41 1.1496577855950813e-39 4.680685712367577e-36 4.458860364711498e-32
0.011497569953977356 1.0327899031996315e-42 2.4278804763653093e-42 1.761178385005615e-41 2.3189643714133302e-39 1.211060602407471e-35 1.1754729868992055e-31
0.01592282793341094 7.665116084499344e-43 1.872269994770405e-42 1.8458669560319464e-41 5.0324670610515864e-39 3.1647275589637773e-35 3.1084863838945677e-31
0.022051307399030412 5.6933036520712825e-43 1.450511009363625e-42 2.1021750349348631e-41 1.1509726357155503e-38 8.323132110355157e-35 8.235484652471696e-31
0.030538555088334123 4.232211857750615e-43 1.1297499267162092e-42 2.64928619413941e-41 2.7383523972238473e-38 2.197732403342554e-34 2.1842207529794753e-30
0.04229242874389499 3.148826218154853e-43 8.853606434913866e-43 3.7552277373255976e-41 6.720634165998732e-38 5.817300697145303e-34 5.796598236938895e-30
0.058570208180566734 2.3449373637219475e-43 6.988662512496704e-43 6.037808084447507e-41 1.69026342710022e-37 1.5420465934293502e-33 1.5388816992295877e-29
0.08111308307896856 1.7479960117325265e-43 5.5639562641282235e-43 1.0952106687737156e-40 4.3301582439720055e-37 4.0911017475248695e-33 4.086268282521414e-29
0.11233240329780265 1.3043802965313906e-43 4.4753714641671265e-43 2.1968049493281554e-40 1.1239072579258372e-36 1.0859129539608274e-32 1.0851745505908785e-28
0.15556761439304723 9.744363746036963e-44 3.6448910693759396e-43 4.748090713741278e-40 2.9428494680084773e-36 2.883181156614666e-32 2.8820423136567905e-28
0.21544346900318778 7.288234819419402e-44 3.0143417266096743e-43 1.0827124757649059e-39 7.749238018747535e-36 7.656298454195172e-32 7.654462462067954e-28
0.2983647240283334 5.458191087921201e-44 2.540868074845288e-43 2.5700047126213487e-39 2.0477616891666876e-35 2.033316294993708e-31 2.0329768389754395e-27
