# %ECSV 0.9
# ---
# datatype:
# - {name: mx, unit: MeV, datatype: float64}
# - {name: sigma_5, unit: cm2, datatype: float64}
# - {name: sigma_3, unit: cm2, datatype: float64}
# - {name: sigma_2, unit: cm2, datatype: float64}
# schema: astropy-2.0
mx sigma_5 sigma_3 sigma_2
0.11233240329780265 2.9285430064666925e-27 3.2193283580132607e-22 8.211998356913224e-19
0.15556761439304723 6.783743618939801e-27 4.46344767390505e-22 1.1396185052233838e-18
0.21544346900318778 1.4469618282335662e-26 6.190955217648186e-22 1.5842399918191133e-18
0.2983647240283334 2.789594761673481e-26 8.596454156118115e-22 2.2097432617449856e-18
0.41320124001153347 4.856071512005648e-26 1.196325750957493e-21 3.1019623510883866e-18
0.572236765935022 7.76569767257875e-26 1.6720114402077643e-21 4.40665652929544e-18
0.7924828983539153 1.1698563526221657e-25 2.3556077907157847e-21 6.3971774621976386e-18
1.0974987654930546 1.697861352235783e-25 3.367135128794464e-21 9.642238197074032e-18
1.5199110829529332 2.4118041098998963e-25 4.935238293263766e-21 1.54327039150857e-17
2.104904144512022 3.385776194463449e-25 7.531858330972606e-21 2.6876137835128725e-17
2.91505306282517 4.723418219892189e-25 1.2192457504049743e-20 5.168443682537176e-17
4.03701725859655 6.5686371712111545e-25 2.1295987975934348e-20 1.0914114738411498e-16
5.5908101825122225 9.121674638138756e-25 4.0513062160494673e-20 2.467131919548517e-16
7.742636826811277 1.2662845423383254e-24 8.36831672259842e-20 5.759611374768924e-16
10.72267222010321 1.7588247435188587e-24 1.8457711703567644e-19 1.3361821935704856e-15
14.849682622544636 2.4465472299290453e-24 4.2277764066424283e-19 2.9651943347175e-15
20.565123083486515 3.4124770614485e-24 9.709533448377695e-19 6.086778838818775e-15
28.48035868435793 4.7816410700920785e-24 2.1516582703441464e-18 1.133271073719491e-14
39.44206059437648 6.74971097239255e-24 4.439343495321698e-18 1.9170907015004238e-14
54.62277217684337 9.637755084837307e-24 8.334249905974912e-18 3.003686232124281e-14
75.64633275546291 1.4001640035285288e-23 1.421565691759893e-17 4.466406157502364e-14
104.76157527896619 2.0860037801949763e-23 2.2414785508470938e-17 6.432975878070648e-14
145.08287784959373 3.2190317888689454e-23 3.346939811268461e-17 9.099193796126682e-14
200.92330025650458 5.205500703880476e-23 4.8325871487577854e-17 1.2742907615760177e-13
278.2559402207126 8.926797696555174e-23 6.844771341176567e-17 1.7751646697584495e-13
385.352859371052 1.6390979565514582e-22 9.593037784730326e-17 2.4659606766396394e-13
533.6699231206302 3.2346064535017846e-22 1.336898924121181e-16 3.420706186223378e-13
739.0722033525775 6.82034339885305e-22 1.8575562888053474e-16 4.741222597805089e-13
1023.5310218990269 1.5096191692742041e-21 2.5769411237837643e-16 6.569803574656056e-13
1417.474162926802 3.406974631295548e-21 3.571996211451828e-16 9.103204620478393e-13
1963.0406500402685 7.55389286777463e-21 4.949064205999059e-16 1.2598221086814752e-12
2718.58824273294 1.582853599649596e-20 6.855528392968245e-16 1.7442939557674313e-12
3764.935806792456 3.042996744522675e-20 9.495354298463499e-16 2.4153477764702846e-12
5214.0082879996735 5.3165430445529936e-20 1.3151085152612412e-15 3.3494484675588613e-12
7220.8090183854565 8.543073381899266e-20 1.8213036974731605e-15 4.638275254152787e-12
10000.0 1.2918280719767457e-19 2.5225278436439063e-15 6.419858306807742e-12
