# %ECSV 1.0
# ---
# datatype:
# - {name: mx, unit: MeV, datatype: float64}
# - {name: sigma_10, unit: cm2, datatype: float64}
# - {name: sigma_7, unit: cm2, datatype: float64}
# - {name: sigma_5, unit: cm2, datatype: float64}
# - {name: sigma_4, unit: cm2, datatype: float64}
# - {name: sigma_3, unit: cm2, datatype: float64}
# - {name: sigma_2, unit: cm2, datatype: float64}
# schema: astropy-2.0
mx sigma_10 sigma_7 sigma_5 sigma_4 sigma_3 sigma_2
28.48035868435793 8.685330138421554e-40 1.3293451424523876e-28 1.7040677192337554e-24 3.324539054602372e-22 7.667568996138795e-19 4.03848195527676e-15
39.44206059437648 2.0908255437887277e-39 2.032852766827329e-28 2.405376494350345e-24 6.131432738158591e-22 1.5819877642923012e-18 6.831671601489888e-15
54.62277217684337 5.221809079568077e-39 2.977062887690647e-28 3.434531325053842e-24 1.215676902084469e-21 2.969961798805036e-18 1.0703821767672686e-14
75.64633275546291 1.3354199186294036e-38 4.250319509487979e-28 4.9896167658854874e-24 2.5741806678691026e-21 5.065837514325017e-18 1.5916314371858597e-14
104.76157527896619 3.466560740936516e-38 5.982793594042512e-28 7.433641558157458e-24 5.7148507174861194e-21 7.987647543865111e-18 2.2924306799202802e-14
145.08287784959373 9.08198921857716e-38 8.357429258513068e-28 1.147125278262206e-23 1.291338620884804e-20 1.1927026878709487e-17 3.242553875662167e-14
200.92330025650458 2.392660925556051e-37 1.1627830305420294e-27 1.8550156766417932e-23 2.860960598259471e-20 1.7221222746481615e-17 4.541013768551168e-14
278.2559402207126 6.32415440812209e-37 1.6145035449606472e-27 3.1811231786144984e-23 5.979766979802241e-20 2.4391765190524586e-17 6.325908837064049e-14
385.352859371052 1.6746045551533462e-36 2.2396051963188875e-27 5.841031441388779e-23 1.1455108652691498e-19 3.418538216405913e-17 8.787603023255923e-14
533.6699231206302 4.437966028770753e-36 3.1059088047551336e-27 1.1526726609166376e-22 1.9942274776549815e-19 4.764121809940193e-17 1.2189897548210774e-13
739.0722033525775 1.1761837698652986e-35 4.308384652172726e-27 2.4304726104544054e-22 3.1954058191306203e-19 6.619516448568654e-17 1.6895639250051325e-13
1023.5310218990269 3.114680287538374e-35 5.981137779271831e-27 5.379623186789253e-22 4.822661829527493e-19 9.183088689230701e-17 2.341190037666206e-13
1417.474162926802 8.231046440234116e-35 8.315982393923623e-27 1.2140968394935849e-21 7.008091617725903e-19 1.272902888389055e-16 3.243983130452088e-13
1963.0406500402685 2.1660490120798137e-34 1.1592617665736797e-26 2.6918770864098923e-21 9.961928124414416e-19 1.7636295641587396e-16 4.4894538112136607e-13
2718.58824273294 5.6542397264736774e-34 1.6230317997002006e-26 5.640597711933811e-21 1.3989102894575567e-18 2.443009839328906e-16 6.215899128516124e-13
3764.935806792456 1.454004488972826e-33 2.2881335292439604e-26 1.0843908385116526e-20 1.9515709826259703e-18 3.3837280875155726e-16 8.607240820287412e-13
5214.0082879996735 3.63993776105952e-33 3.260825585581075e-26 1.8945831155854803e-20 2.7131058058789504e-18 4.686470331962627e-16 1.1935966263782242e-12
7220.8090183854565 8.708104143167692e-33 4.7236225864920264e-26 3.0443771023543765e-20 3.7648897427811584e-18 6.490328094263161e-16 1.6528780034021314e-12
10000.0 1.942994475426179e-32 7.008264653748978e-26 4.603509203687362e-20 5.219426841327171e-18 8.989183602260466e-16 2.2877561159718694e-12
