# %ECSV 0.9
# ---
# datatype:
# - {name: mx, unit: MeV, datatype: float64}
# - {name: sigma_10, unit: cm2, datatype: float64}
# - {name: sigma_7, unit: cm2, datatype: float64}
# - {name: sigma_5, unit: cm2, datatype: float64}
# - {name: sigma_4, unit: cm2, datatype: float64}
# - {name: sigma_3, unit: cm2, datatype: float64}
# - {name: sigma_2, unit: cm2, datatype: float64}
# schema: astropy-2.0
mx sigma_10 sigma_7 sigma_5 sigma_4 sigma_3 sigma_2
0.0006135907273413163 4.5063184684821954e-39 3.6528151363859646e-38 6.736532175993316e-34 4.949972993136273e-30 4.7844176567234837e-26 4.431010794348221e-22
0.0008497534359086438 3.397199455418076e-39 3.557521671269867e-38 1.5826699396687312e-33 1.31012522630062e-29 1.2397553785988121e-25 1.0788907996785141e-21
0.0011768119524349966 2.5660373192912322e-39 3.6687141007605995e-38 3.8910262162199796e-33 3.4707931186023855e-29 3.14582827595587e-25 2.470937729865435e-21
0.0016297508346206436 1.9423483584643618e-39 4.042360433828656e-38 9.858437122777703e-33 9.194763932217682e-29 7.6966202875558815e-25 5.191775120645973e-21
0.002257019719633917 1.4736853434101738e-39 4.783998953305047e-38 2.5454914308602364e-32 2.433312872627226e-28 1.7757308008543483e-24 9.844492596535228e-21
0.0031257158496882354 1.1209890219358595e-39 6.069635704537881e-38 6.64889727560898e-32 6.422990028868948e-28 3.767329405738931e-24 1.688377978661085e-20
0.004328761281083053 8.551448227891248e-40 8.174937148212849e-38 1.7487149872370913e-31 1.6866269522555407e-27 7.219777849524014e-24 2.6700971463028417e-20
0.005994842503189409 6.5443075126991745e-40 1.154335147661235e-37 4.617709438121973e-31 4.385302479455846e-27 1.2500070740825674e-23 3.9933506204811665e-20
0.008302175681319735 5.026246375794103e-40 1.6975153380490843e-37 1.2220502247048642e-30 1.1196035061795957e-26 1.9908147920675e-23 5.770839639969213e-20
0.011497569953977356 3.875994881518925e-40 2.6066798426466067e-37 3.237309439965639e-30 2.76806075397001e-26 2.9910130352257374e-23 8.177473774666204e-20
0.01592282793341094 3.0028038782545013e-40 4.2190764497179754e-37 8.576238359098216e-30 6.491249264302827e-26 4.3339924129234575e-23 1.146375102596467e-19
0.022051307399030412 2.3386939073907866e-40 7.2858001928197264e-37 2.2697535479199672e-29 1.407942363926104e-25 6.150621207632834e-23 1.597867433207853e-19
0.030538555088334123 1.8326920195109032e-40 1.3572739791665776e-36 5.992078486377946e-29 2.7665623584227935e-25 8.629427373415613e-23 2.2204680849980193e-19
0.04229242874389499 1.4465445944371994e-40 2.742819930506002e-36 1.573905534583256e-28 4.9019581146357795e-25 1.2033353706674352e-22 3.0809336769052004e-19
0.058570208180566734 1.1515275129476718e-40 5.990907937676448e-36 4.094348957330816e-28 7.946408704051156e-25 1.6726270404108726e-22 4.271835886763171e-19
0.08111308307896856 9.260738505294154e-41 1.3964125095536208e-35 1.0463073651979196e-27 1.2079018108728247e-24 2.321175974445676e-22 5.921944360442023e-19
0.11233240329780265 7.540128925235124e-41 3.414409999966517e-35 2.5910501529128057e-27 1.762526364951452e-24 3.218867752985905e-22 8.211698333299357e-19
0.15556761439304723 6.232696917540506e-41 8.620513361936107e-35 6.091761785547006e-27 2.5111849597328688e-24 4.4631143889939415e-22 1.1395967227010874e-18
0.21544346900318778 5.249170933347348e-41 2.2210198255365236e-34 1.3260063454748254e-26 3.5308879172748354e-24 6.190713885918469e-22 1.5842241075677517e-18
0.2983647240283334 4.5250680290133464e-41 5.793760813658301e-34 2.616374252082774e-26 4.929645952422306e-24 8.596279000087844e-22 2.2097315892306715e-18
0.41320124001153347 4.016372055917127e-41 1.5226269819467216e-33 4.654135223808375e-26 6.857313628485724e-24 1.1963129781967795e-21 3.101953669932427e-18
