# %ECSV 1.0
# ---
# datatype:
# - {name: mx, unit: MeV, datatype: float64}
# - {name: sigma_10, unit: cm2, datatype: float64}
# - {name: sigma_7, unit: cm2, datatype: float64}
# - {name: sigma_5, unit: cm2, datatype: float64}
# - {name: sigma_4, unit: cm2, datatype: float64}
# - {name: sigma_3, unit: cm2, datatype: float64}
# - {name: sigma_2, unit: cm2, datatype: float64}
# schema: astropy-2.0
mx sigma_10 sigma_7 sigma_5 sigma_4 sigma_3 sigma_2
54.62277217684337 6.899088188891569e-38 7.612974504918708e-36 3.1546504782155405e-28 3.1216864276663723e-24 2.99438346600503e-20 2.7160413666171815e-16
75.64633275546291 4.983686667930081e-38 1.483577738282607e-35 8.374722802595078e-28 8.268623851863898e-24 7.705539065836498e-20 6.473900798133355e-16
104.76157527896619 3.601372940687258e-38 3.1924945822894675e-35 2.2229746443747218e-27 2.1900066978845563e-23 1.9314440413124864e-19 1.4368135226909173e-15
145.08287784959373 2.604278792427313e-38 7.389495375489735e-35 5.898957800525188e-27 5.797650825371272e-23 4.630397592149805e-19 2.9014680010397804e-15
200.92330025650458 1.8857323349617695e-38 1.7982116825775211e-34 1.5646937493369023e-26 1.532584568476291e-22 1.0363072165077427e-18 5.279244059077733e-15
278.2559402207126 1.3688324983165524e-38 4.523007010755906e-34 4.1481854836797304e-26 4.0379059862078056e-22 2.1143238519337064e-18 8.741626667658355e-15
385.352859371052 9.981858059189715e-39 1.1620522639922582e-33 1.0991998636123934e-25 1.0568099513976245e-21 3.887244824720701e-18 1.3481332721394835e-14
533.6699231206302 7.338947699571776e-39 3.02543704478606e-33 2.911795829338576e-25 2.7312254297009843e-21 6.492230923358992e-18 1.9846306172748353e-14
739.0722033525775 5.471145729656873e-39 7.94117201551519e-33 7.712620585116988e-25 6.898497850313953e-21 1.0072763507371704e-17 2.841752378601935e-14
1023.5310218990269 4.1669197747030935e-39 2.094650824636419e-32 2.0427319948130975e-24 1.6748658087828408e-20 1.48833437245763e-17 4.006929546019374e-14
1417.474162926802 3.2668082474583477e-39 5.541204468218731e-32 5.4078701456368264e-24 3.819354617996475e-20 2.1357170139845417e-17 5.603412524867638e-14
1963.0406500402685 2.6486437799804154e-39 1.4683746726844903e-31 1.4296550606937268e-23 7.979897191169344e-20 3.0145239110621484e-17 7.792398943974954e-14
2718.58824273294 2.2230287213762033e-39 3.894869852425001e-31 3.7673771933751014e-23 1.504028223893108e-19 4.217000938689527e-17 1.0816362578735609e-13
3764.935806792456 1.9320968584626242e-39 1.0336653581811225e-30 9.863526669406246e-23 2.565805680343216e-19 5.871057961925541e-17 1.4997382200530445e-13
5214.0082879996735 1.7443744211885616e-39 2.7439521747352532e-30 2.550816067611407e-22 4.0419461695683325e-19 8.153438609832922e-17 2.0811733762917394e-13
7220.8090183854565 1.6478701610482932e-39 7.284471251025337e-30 6.450417067890154e-22 6.029935611607862e-19 1.1307720637212712e-16 2.8830222131368875e-13
10000.0 1.6471471053671684e-39 1.93363336998286e-29 1.569167363453585e-21 8.701171833033275e-19 1.5672881611962747e-16 3.991154846796668e-13
